,brand,model,variant,price,year,mileage,transmission,fuel,colour
16,,C5 Aircross,C5 Aircross Flair Plus,"21,695",2019,"11,600.0",Automatic,Diesel,Unknown
17,,C5 Aircross,C5 Aircross Flair,"24,299",2021,"6,516.0",Automatic,Diesel,Unknown
18,,C5 Aircross,C5 Aircross Flair,"18,340",2019,"33,400.0",Manual,Petrol,Unknown
19,,C5 Aircross,C5 Aircross Flair,"19,869",2019,"13,569.0",Manual,Petrol,Unknown
20,,C5 Aircross,C5 Aircross Flair Plus,"28,979",2020,"10,567.0",Automatic,Hybrid (Petrol),Unknown
21,,C5 Aircross,C5 Aircross Flair,"21,000",2019,"20,625.0",Automatic,Diesel,Metallic - Volcano red
22,,C5 Aircross,C5 Aircross Flair Plus,"21,495",2019,"2,525.0",Manual,Petrol,Unknown
23,,C5 Aircross,C5 Aircross Flair,"21,257",2019,"13,143.0",Automatic,Petrol,Unknown
24,,C5 Aircross,C5 Aircross Flair,"17,750",2019,"12,719.0",Manual,Petrol,Unknown
25,,C5 Aircross,C5 Aircross Flair,"20,995",2021,"7,778.0",Manual,Petrol,Metallic - Platinum grey
26,,C5 Aircross,C5 Aircross Flair,"21,052",2020,"27,232.0",Automatic,Diesel,Metallic - Perla nera black
27,,C5 Aircross,C5 Aircross Flair,"22,106",2020,"16,651.0",Automatic,Diesel,Unknown
28,,C5 Aircross,C5 Aircross Flair Plus,"21,695",2019,"11,600.0",Automatic,Diesel,Unknown
29,,C5 Aircross,C5 Aircross Flair,"24,299",2021,"6,516.0",Automatic,Diesel,Unknown
30,,C5 Aircross,C5 Aircross Flair,"18,340",2019,"33,400.0",Manual,Petrol,Unknown
31,,C5 Aircross,C5 Aircross Flair,"19,869",2019,"13,569.0",Manual,Petrol,Unknown
32,,C5 Aircross,C5 Aircross Flair Plus,"28,979",2020,"10,567.0",Automatic,Hybrid (Petrol),Unknown
33,,C5 Aircross,C5 Aircross Flair,"21,000",2019,"20,625.0",Automatic,Diesel,Metallic - Volcano red
